Gene	Zygote	4 Cell	8 Cell	Compacted Morula	Early Inner Cell Mass	Epiblast	Primitive Endoderm
PDHA1	8.67	10.47	16.68	104.32	95.66	105.56	186.62
TOMM22	2.98	4.34	59.66	210.41	218.07	156.14	168.89
EPCAM	30.17	20.34	8.24	15.61	50.43	137.66	137.45
RAB7A	55.26	41.36	94.92	134.88	133.37	152.15	125.33
YWHAB	196.64	63.24	91.4	41.91	43.8	57.87	58.57
TRAPPC2L	3.98	2.56	2.35	32.02	53.75	53.59	57.01
RAC1	62.21	42.46	29.63	18.5	21.93	36.95	46.86
PPP1R7	6.08	10.43	6.17	11.19	19.87	23.07	21.29
TOR1B	1.67	1.89	167.81	54.72	42.27	21.15	20.29
PRKDC	1.4	1.57	7.05	18.7	19.23	26.43	20.21
HPF1	787.98	355.67	30.99	41	27.07	21.6	19.2
MPHOSPH8	92.16	30.76	25.55	14.43	9.55	14.04	18.61
PCBP2	13.66	26.51	44.12	14.8	8.58	16.02	16.38
BOD1	2182.08	1323.47	76.95	7.13	5.66	14.6	14.2
ZNF28	2.2	2.19	5.46	15.35	15.1	9.36	12.28
MAP2K3	6.22	8.42	3.01	2.61	5.42	8.04	8.95
EXT1	12.89	11.83	4.54	2.17	1.72	3.62	8.92
SQSTM1	4.78	2.96	3.06	9.78	12.85	9.78	8.47
ARID3B	15.17	14.83	13.46	4.44	3.73	6.35	8.4
DAZAP1	3.33	2.36	1.52	3.96	4.32	6.36	8.12
STK35	10.23	10.02	12.41	4.92	5.36	10.41	7.77
HLA-DRB1	1	1.15	3.49	2.26	1.67	2.42	7.66
PPDPF	3.32	4.34	2.91	8.53	6.52	6.47	6.89
PDGFA	3.22	7.36	1.68	7.23	32.48	22.15	6.2
UHRF1BP1	4.88	5.55	3.51	4.52	6.02	3.74	6.19
SEPT9	2.54	4.08	1.46	1.77	1.48	3.69	5.62
DHX40	4.99	4.91	12.45	6.28	5.87	4.97	5.17
EDEM3	1.56	1.27	2.08	2.82	2.59	4.36	4.66
PRIM2	21.2	20.72	3.52	5.92	4.7	6.19	4.3
TERF2	9.92	9.13	15.29	5.54	4.89	5.81	4.29
S100A4	1.01	3.05	1.66	1.01	1.33	2.22	4.05
ROCK2	1.14	1.05	3.53	3	2.2	4.48	3.5
SMURF2	34.51	30.92	5.09	3.61	3.53	4.41	3.41
DTX2	9.41	19.39	2.79	5.1	6.53	3.56	3.28
SNX1	6.85	7.31	2.96	6.39	4.24	3.15	2.86
TNFAIP2	1.01	1.15	1.01	1	1	1.23	2.84
ZDHHC11	1.01	1.01	1.06	1.57	1.83	2.1	2.69
MRNIP	4.96	7.53	1.98	1.93	2.08	1.68	2.54
XAGE3	1	1	1	60.58	28.79	5.17	2.26
SPINK5	2.07	2.77	1.81	3.4	3.08	3.3	2.15
KLHL23	4.48	1.79	1.22	1.23	2.61	2.67	2.08
NPNT	1.18	1.22	1.1	1	1	1.56	2.06
VCX	1	1.1	2.33	1.31	1.08	5.39	1.89
BCAS4	6	4.83	1.25	2.17	1.98	1.25	1.83
CREBRF	1.72	1.36	2.33	1.54	1.33	1.75	1.45
MAP3K12	1.38	1.24	2.41	1.39	1.11	1.19	1.33
SNCG	1	1.14	1.18	1.02	1	2.51	1.23
PLCB1	12.1	5.43	2.01	1.86	1.8	1.76	1.21
MAP3K15	3.38	2.84	1.24	1.11	1.08	1.3	1.2
ZNF99	1.09	1.03	1.24	1.34	2.59	1.9	1.19
GREB1	2.63	3.4	1.2	1.04	1.12	1.11	1.18
AGPAT3	4.89	4.02	1.38	1.3	1.7	1.23	1.1
ELAVL3	1	1.08	2.78	1.15	1.02	1.06	1.1
ZBTB16	15.78	16.5	2.77	1.79	1.09	1	1.05
RAB41	1.03	1.05	6.02	1.4	1.15	1.1	1.04
TTC39C	3.19	2.59	3.65	3.38	1.38	1.5	1.04
RIMS3	1.64	2.01	1.08	1.07	1.13	1.25	1.03
MYO16	2.88	3.66	1.31	1.7	1.11	1.01	1.01
APBA1	3.13	4.22	1.15	1.16	1.18	1	1.01
UMODL1	2.68	2.88	1.11	1	1	1.52	1.01
KCNJ12	1.41	3.16	1	1	1	1	1.01
ANO5	3.06	3.03	1.27	1.09	1.12	3.07	1
POTEM	1.02	1.02	2.9	1	1	1	1
KCNJ18	1	1.02	1	1	1	1	1
