Gene,Expressed,AC_Patient,AN_Patient,AF_Patient,AC_gnomAD,AN_gnomAD,AF_gnomAD,pVal,FDR
ELAVL3,YES,117,356,0.3286516854,94,13472,0.0069774347,5.97563498519693E-119,1.44072559493098E-115
MAP3K12;PCBP2,YES,97,356,0.2724719101,77,14352,0.0053651059,1.1594502586841E-102,1.39771728684368E-99
TOMM22,YES,144,356,0.404494382,565,13386,0.0422082773,4.94722377685404E-73,3.97591884199837E-70
ZNF28,YES,279,322,0.8664596273,628,3020,0.2079470199,8.20287843125911E-51,4.94428497444143E-48
ZBTB16,YES,37,356,0.1039325843,31,12284,0.0025236079,2.35237538074895E-38,1.13431540859714E-35
DHX40,YES,42,356,0.1179775281,110,14398,0.00763995,3.98155347184482E-31,1.59992090343631E-28
RIMS3,YES,18,352,0.0511363636,4,14496,0.0002759382,5.9262747174626E-26,2.04117833482891E-23
ZNF99,YES,617,5336,1.7357011363,17427,215420,1.2678660642,2.46177300482915E-15,7.41916839330387E-13
SMURF2,YES,44,658,0.1348224896,131,6804,0.0711341341,3.03773602898008E-10,8.13775729541219E-08
PRIM2,YES,424,712,1.191011236,11895,29276,0.8158777361,1.55168585572005E-09,3.74111459814104E-07
MAP2K3,YES,356,712,1,9984,29988,0.6658663465,1.75452192512069E-09,3.84559305587817E-07
MAP3K15;PDHA1,YES,57,712,0.1601123596,677,21193,0.0638881596,8.59975442917555E-09,1.56822141481788E-06
STK35,YES,8,356,0.0224719101,11,14034,0.0007838107,9.10622140499805E-09,1.56822141481788E-06
TTC39C,YES,19,636,0.0610943934,1329,14118,0.2740120883,8.52910119369706E-09,1.56822141481788E-06
XAGE3,YES,655,1068,1.8398876404,11477,25156,1.3786793955,9.79887031452936E-09,0.000001575
POTEM,YES,112,1384,0.3174742246,1467,33600,0.2260645663,1.72815021357253E-08,2.6041063530771E-06
BOD1,YES,96,712,0.2696629213,1956,28392,0.137620327,2.1785246880133E-08,3.0896606016471E-06
VCX,YES,124,700,0.3549198263,767,7954,0.1836953225,3.9053010270689E-08,5.23093376459062E-06
BCAS4,YES,16,712,0.0449438202,110,30004,0.0073323558,5.06009157347356E-08,6.09994039182238E-06
UMODL1,YES,20,356,0.0561797753,2451,14624,0.1676012035,5.04237314208742E-08,6.09994039182238E-06
ARID3B,YES,125,1780,0.3511235955,3049,74494,0.2037794114,8.27178089218315E-08,9.49679225288266E-06
GPR161,YES,29,2492,0.0814606742,376,103904,0.0255043188,1.82575308906818E-07,2.00085940806518E-05
PPDPF,YES,45,356,0.1264044944,1129,4134,0.2731011127,2.69792233904026E-07,2.82812641714177E-05
ZDHHC11,YES,513,3474,1.4615974625,24305,130240,2.0465270423,0.000000534,5.36473396197829E-05
ANO5,YES,6,356,0.0168539326,7,12838,0.0005452563,5.93398097492815E-07,5.7227312522207E-05
HLA-DRB1,YES,422,1872,2.2774236477,41574,141600,2.9506458412,6.51352886108741E-07,6.04004541695451E-05
S100A4,YES,10,712,0.0280898876,48,28638,0.0032516434,1.34715800046006E-06,0.0001202962
TOR1B,YES,22,354,0.0621468927,1766,11812,0.1495089739,0.000010242,0.0008819134
EXT1,YES,126,356,0.3539325843,3063,13730,0.2230881282,2.23244514065755E-05,0.0018415498
SREBF2,YES,28,712,0.0786516854,2494,29922,0.1666997928,2.29143482601313E-05,0.0018415498
ROCK2,YES,10,356,0.0280898876,1347,14978,0.0899319001,2.57832244277165E-05,0.0020052695
SLC7A2,YES,49,1068,0.1376404494,1098,45004,0.0731944697,0.0001036295,0.0078078373
SEPT9,YES,711,4270,1.997746461,22906,161382,2.2041151253,0.0001307215,0.0093046527
SLC6A19,YES,96,708,0.2701098059,6068,29892,0.4064218505,0.0001312145,0.0093046527
TERF2,YES,8,356,0.0224719101,58,15014,0.0038630611,0.0001542332,0.0106244646
MPHOSPH8,YES,608,882,1.7478189028,24199,28838,1.9969578115,0.0002208888,0.0147784782
RAB41,YES,32,712,0.0898876404,445,21140,0.0422387422,0.000230522,0.0147784782
RAC1,YES,149,878,0.5338235294,7673,32756,0.7721285151,0.000232925,0.0147784782
PSCA,YES,1193,3204,3.3511235955,56553,134036,3.7993693785,0.0002528419,0.0156308161
EPCAM,YES,24,352,0.0681818182,2100,15002,0.1399813358,0.0003019774,0.0182016908
UBL4A,YES,133,712,0.3735955056,2704,20756,0.2605518605,0.000309731,0.0182136943
MRNIP;SQSTM1,YES,4,356,0.0112359551,11,15000,0.0007333333,0.0003291612,0.018895421
HAP1,YES,15,712,0.0421348315,225,29958,0.0150208143,0.0006114708,0.0342850233
RAB7A,YES,64,1068,0.1797752809,1667,44202,0.1129762016,0.0007596279,0.0414425743
UHRF1BP1,YES,3,356,0.0084269663,623,15006,0.0415167266,0.000773503,0.0414425743
PLXND1,YES,120,1424,0.3370786517,3610,59864,0.2413631995,0.0008647204,0.0453226272
HPF1,YES,22,356,0.0617977528,400,15002,0.0266631116,0.000923636,0.0473805638
GREB1,YES,3,356,0.0084269663,6,15004,0.0003998934,0.0009561536,0.0480267967
CREBRF,YES,304,1068,0.8539325843,9273,40552,0.7152741625,0.0010938562,0.0538221907
DAZAP1,YES,49,480,0.201931092,288,4926,0.0935843888,0.0012436042,0.0596960069
SLC26A6,YES,15,356,0.0421348315,241,14964,0.0161053194,0.0012627525,0.0596960069
INTS14,YES,34,356,0.095505618,767,15012,0.0510924594,0.0013021293,0.0603737279
SNX1,YES,7,712,0.0196629213,64,29962,0.0042722037,0.0013515749,0.0614839077
OTULIN,YES,9,356,0.0252808989,104,15006,0.0069305611,0.0014165727,0.0632473477
HMOX1,YES,4,356,0.0112359551,18,15010,0.0011992005,0.00154336,0.0664700051
SNUPN,YES,62,356,0.1741573034,4005,14980,0.2673564753,0.0015438906,0.0664700051
PYM1,YES,2,356,0.0056179775,1,14982,6.67467627820051E-05,0.0016040626,0.0678490319
CFAP20,YES,30,356,0.0842696629,653,15010,0.0435043304,0.0018923634,0.0786635885
ATG16L1,YES,6,356,0.0168539326,50,15002,0.0033328889,0.0019427536,0.0793894719
FAIM2,YES,8,356,0.0224719101,90,14958,0.0060168472,0.002224492,0.089387503
C2CD2L,YES,30,356,0.0842696629,674,15012,0.0448974154,0.0022857213,0.0903421984
HTR3C,YES,3,356,0.0084269663,9,14978,0.0006008813,0.0023870747,0.0916500763
TTBK2,YES,20,356,0.0561797753,384,14918,0.0257407159,0.0023948382,0.0916500763
NAA50,YES,4,1068,0.0112359551,21,44924,0.0014042195,0.0025075114,0.0944626566
FNBP1L,YES,1,356,0.0028089888,391,14992,0.0260805763,0.0027595742,0.1023589755
MPP2,YES,2,356,0.0056179775,2,14944,0.000133833,0.0031736334,0.1125239721
S100A5,YES,2,356,0.0056179775,2,14972,0.0001335827,0.0031622336,0.1125239721
S100A6,YES,2,356,0.0056179775,2,14996,0.0001333689,0.0031525111,0.1125239721
BCL9L,YES,178,356,0.5,7798,11900,0.6552941176,0.0035101627,0.1209000339
KLHL23;PHOSPHO2-KLHL23,YES,791,1472,3.1114048047,31336,51190,2.884936127,0.0034847797,0.1209000339
HHLA1,YES,11,356,0.0308988764,1067,14996,0.0711523073,0.0037113295,0.1260283878
OAF,YES,4,712,0.0112359551,24,29802,0.0016106314,0.0039199051,0.1312623767
FAM234B,YES,3,356,0.0084269663,525,15012,0.0349720224,0.0040940675,0.1319090162
MED21,YES,120,712,0.3370786517,6713,29994,0.4477307363,0.0041580611,0.1319090162
SRSF6,YES,3,356,0.0084269663,515,14974,0.0343929478,0.0040327524,0.1319090162
VCX3A,YES,9,356,0.0252808989,42,5375,0.0078139535,0.0041170265,0.1319090162
ATP6V1D,YES,19,356,0.0533707865,384,15012,0.0255795364,0.0043131845,0.1350530873
PLCB1,YES,18,712,0.0505617978,353,30010,0.0235189987,0.0046416677,0.1434751377
FAM227A,YES,25,712,0.0702247191,554,29964,0.0369800053,0.0050168804,0.1505232296
GCNT3,YES,15,356,0.0421348315,276,15000,0.0184,0.005001402,0.1505232296
MCTP1,YES,2,356,0.0056179775,3,14982,0.0002002403,0.0051818449,0.1505232296
SATB1,YES,2,356,0.0056179775,3,14992,0.0002001067,0.0051752549,0.1505232296
YWHAB,YES,173,1754,0.4921560488,5431,69486,0.3822578658,0.0051348513,0.1505232296
DCAKD,YES,5,62,0.0806451613,238,13930,0.0170854271,0.0056859229,0.1612795295
LIMCH1,YES,4,356,0.0112359551,27,14994,0.0018007203,0.0056361277,0.1612795295
LRRC39;TRMT13,YES,62,356,0.1741573034,1744,14978,0.1164374416,0.0059018484,0.1654576337
HTATSF1,YES,2,356,0.0056179775,2,10546,0.0001896454,0.0061705419,0.1671592879
TNS3,YES,10,712,0.0280898876,157,30004,0.0104656891,0.0061054553,0.1671592879
ZHX3,YES,42,356,0.1179775281,2733,14974,0.1825163617,0.0060437157,0.1671592879
DHRS12,YES,96,712,0.2696629213,5420,29938,0.3622823963,0.0064385195,0.1724807832
CMTR1,YES,17,712,0.047752809,338,29980,0.0225471923,0.0067039826,0.176135233
STAT5B,YES,3,356,0.0084269663,14,15010,0.0009327115,0.0067210458,0.176135233
SH3PXD2B,YES,6,356,0.0168539326,63,14348,0.0043908559,0.0068038371,0.1763876485
PPP1R3B,YES,236,712,0.6629213483,8031,29862,0.5378742373,0.0070723558,0.1813984037
HSD17B12,YES,8,356,0.0224719101,825,15002,0.0549926676,0.0077311406,0.1832336357
MIS18BP1,YES,24,356,0.0674157303,545,14962,0.0364256115,0.0072311513,0.1832336357
MYDGF,YES,48,356,0.1348314607,1314,14990,0.087658439,0.0075258487,0.1832336357
PTH2R,YES,4,712,0.0112359551,30,30020,0.0019986676,0.0077519,0.1832336357
RIMKLB,YES,2,356,0.0056179775,4,15016,0.0002663825,0.0076194971,0.1832336357
TUBB4A,YES,2,356,0.0056179775,4,14936,0.0002678093,0.0076968894,0.1832336357
ZNF354B,YES,2,712,0.0056179775,4,29966,0.0002669693,0.0076219079,0.1832336357
ZNF573,YES,2,712,0.0056179775,4,29952,0.0002670406,0.0076286504,0.1832336357
NSF,YES,34,356,0.095505618,2290,14930,0.1533824514,0.0078884902,0.1846519405
GNB1L,YES,60,712,0.1685393258,1727,29958,0.1153332443,0.0081425479,0.1887661827
ECHS1,YES,6,356,0.0168539326,70,15006,0.0046648007,0.0087930006,0.2004238244
VCX2,YES,45,356,0.1264044944,542,6732,0.0805109923,0.0088116654,0.2004238244
HSPA2,YES,238,712,0.6685393258,9792,24022,0.6984090243,0.0089113396,0.2007966326
SLC5A6,YES,3,356,0.0084269663,16,14980,0.0010680908,0.0092993408,0.2075991731
ARRB2,YES,9,356,0.0252808989,142,15004,0.0094641429,0.0095061132,0.2102682479
PPIP5K2,YES,8,356,0.0224719101,797,14998,0.0531404187,0.010034928,0.2199473768
ZNF57,YES,14,356,0.0393258427,276,15010,0.0183877415,0.0102159451,0.2218976898
HIF1AN,YES,11,356,0.0308988764,971,14990,0.0647765177,0.0103926144,0.2237195842
DCUN1D2,YES,46,356,0.1292134831,2883,14966,0.1926366431,0.0108270466,0.2241036224
MDM2,YES,10,712,0.0280898876,172,30018,0.0114646408,0.0107967453,0.2241036224
OSTM1,YES,2,356,0.0056179775,5,14940,0.000334672,0.01060308,0.2241036224
TAMM41,YES,101,356,0.2837078652,5673,14982,0.3786543853,0.0108098046,0.2241036224
TTYH1,YES,19,712,0.0533707865,422,29862,0.0282186834,0.0108752069,0.2241036224
LMNB1,YES,37,712,0.1039325843,978,29998,0.065234294,0.0110866693,0.2249997003
