Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000000003,TSPAN6,0.01,19.21,10.91,0.47,23.67,5.66
ENSG00000000005,TNMD,0.02,0.01,-1.32,0.01,0.01,-0.42
ENSG00000000419,DPM1,12.67,128.99,3.35,46.03,133.05,1.53
ENSG00000000457,SCYL3,1.72,1.36,-0.33,2.03,1.04,-0.96
ENSG00000000460,C1orf112,1.00,2.89,1.54,1.29,3.15,1.29
ENSG00000000938,FGR,0.07,0.00,-Inf,0.04,0.00,-Inf
ENSG00000000971,CFH,0.00,0.00,NA,0.00,0.00,NA
ENSG00000001036,FUCA2,0.16,10.98,6.10,0.12,13.72,6.84
ENSG00000001084,GCLC,3.87,2.04,-0.92,3.13,2.14,-0.55
ENSG00000001167,NFYA,2.54,14.70,2.54,16.21,7.48,-1.12
ENSG00000001460,STPG1,6.46,0.79,-3.02,4.58,0.79,-2.54
ENSG00000001461,NIPAL3,6.67,1.04,-2.69,4.79,1.04,-2.21
ENSG00000001497,LAS1L,2.41,23.30,3.28,4.37,27.05,2.63
ENSG00000001561,ENPP4,0.02,0.21,3.41,0.03,0.26,3.26
ENSG00000001617,SEMA3F,0.08,0.27,1.85,0.12,0.29,1.25
ENSG00000001626,CFTR,3.40,0.46,-2.89,2.75,0.21,-3.69
ENSG00000001629,ANKIB1,5.84,5.03,-0.21,6.20,4.56,-0.44
ENSG00000001630,CYP51A1,0.14,1.31,3.28,0.39,1.42,1.85
ENSG00000001631,KRIT1,3.63,5.92,0.71,4.23,6.04,0.51
ENSG00000002016,RAD52,0.65,4.95,2.94,2.47,4.66,0.92
ENSG00000002330,BAD,1.58,8.67,2.46,1.55,10.47,2.76
ENSG00000002549,LAP3,3.15,19.91,2.66,15.07,15.16,0.01
ENSG00000002586,CD99,0.56,2.29,2.03,0.58,2.71,2.22
ENSG00000002587,HS3ST1,0.01,0.64,6.00,0.01,0.80,6.90
ENSG00000002726,AOC1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000002745,WNT16,0.08,0.47,2.55,0.24,0.45,0.87
ENSG00000002746,HECW1,0.19,0.02,-2.98,0.13,0.03,-2.08
ENSG00000002822,MAD1L1,4.18,6.37,0.61,4.38,6.77,0.63
