Gene,Expressed,AC_LRG,AN_LRG,AF_LRG,AC_HRG,AN_HRG,AF_HRG,pVal,FDR
HLA-DRB1,YES,177,996,2.1592729519,339,1250,3.2849188935,3.24807458658282E-05,0.1141698217
TMEM33,YES,38,340,0.2235294118,12,372,0.064516129,0.0001095389,0.1925145672
MTERF1,YES,2,510,0.0117647059,20,558,0.1075268817,0.0002885091,0.3380364662
SV2C,NO,11,1190,0.0647058824,0,1298,0,0.0003084389,-
VIM,NO,53,2890,0.3117647059,24,3162,0.1290322581,0.0003127889,-
PDP2,YES,34,680,0.2,13,744,0.0698924731,0.0009649561,0.8479551317
WDR17,NO,8,2296,0.0491830065,31,2558,0.1682951269,0.0009985585,-
PSCA,YES,504,1530,2.9647058824,689,1674,3.7043010753,0.0012280693,0.8633327044
LBX2,NO,8,340,0.0470588235,0,372,0,0.0028557828,-
RAB2B,YES,109,850,0.6411764706,76,930,0.4086021505,0.0041902176,1
MCIDAS,YES,12,170,0.0705882353,35,186,0.188172043,0.0046699981,1
ARID3B,YES,76,850,0.4470588235,49,930,0.2634408602,0.0053654254,1
COPB1,YES,12,1018,0.0707282913,2,1116,0.0107526882,0.0055395755,1
LCE6A,NO,7,340,0.0411764706,0,372,0,0.0059085161,-
RPS6KL1,YES,31,170,0.1823529412,13,186,0.0698924731,0.0060988488,1
CRELD2,YES,0,340,0,8,372,0.0430107527,0.0081786426,1
PGRMC1,YES,0,680,0,8,744,0.0430107527,0.008211524,1
NAAA,YES,15,170,0.0882352941,4,186,0.0215053763,0.0090697516,1
REEP6,YES,111,1530,0.6529411765,82,1674,0.4408602151,0.0093339768,1
ZHX3,YES,12,340,0.0705882353,31,372,0.1666666667,0.0117306211,1
SRGAP1,YES,6,170,0.0352941176,0,186,0,0.0126330048,1
ART1,NO,6,170,0.0352941176,0,186,0,0.0126330048,-
MAGOH,YES,4,322,0.0246217969,17,358,0.095467033,0.0130320376,1
FCRL6,NO,36,510,0.2117647059,68,558,0.3655913978,0.0131496979,-
MOBP,NO,67,1020,0.3941176471,109,1116,0.5860215054,0.0147368971,-
CRACR2B,YES,14,340,0.0823529412,4,372,0.0215053763,0.0153219486,1
IFNW1,NO,0,170,0,7,186,0.0376344086,0.0160243488,-
HSPG2;LDLRAD2,NO,12,170,0.0705882353,3,186,0.0161290323,0.0170187514,-
USP40,YES,26,170,0.1529411765,54,186,0.2903225806,0.0177474807,1
NSUN7,YES,19,170,0.1117647059,42,186,0.2258064516,0.0178999034,1
TMEM45A,NO,9,170,0.0529411765,25,186,0.1344086022,0.0191303496,-
RNF26,YES,20,170,0.1176470588,43,186,0.2311827957,0.0198347348,1
PCMTD2,YES,44,678,0.2588935574,27,744,0.1451612903,0.0206517274,1
MGLL,YES,272,2036,1.6610700874,361,2212,1.985148461,0.0211760271,1
DHX40,YES,44,680,0.2588235294,76,744,0.4086021505,0.022038041,1
HIF1AN,YES,2,340,0.0117647059,11,372,0.0591397849,0.0239647184,1
SPINK5,YES,56,340,0.3294117647,94,372,0.5053763441,0.024017995,1
PRLHR,YES,44,340,0.2588235294,27,372,0.1451612903,0.0249584555,1
USH2A,YES,5,510,0.0294117647,0,558,0,0.0252134987,1
DNAJC11;THAP3,YES,5,340,0.0294117647,0,372,0,0.0254054084,1
